"Submit your testimonial","Submit your testimonial"
"Testimonial","Testimonial"
"Message","Message"
"Unable to find items to save","Unable to find items to save"
"New Testimonial","New Testimonial"
"Edit Testimonial","Edit Testimonial"
"Testimonial Information","Testimonial Information"
"Company","Company"
"Website","Website"
"Facebook","Facebook"
"Twitter","Twitter"
"Rating","Rating"
"Rating:","Rating:"
"star","star"
"stars","stars"
"No rating","No rating"
"Unable to find a testimonial to delete.","Unable to find a testimonial to delete."
"The testimonial has been deleted.","The testimonial has been deleted."
"Testimonial has been saved.","Testimonial has been saved."
"No testimonials found.","No testimonials found."
"Please select testimonial(s).","Please select testimonial(s)."
"Show more testimonials","Show more testimonials"
"View all testimonials","View all testimonials"
"Display in widget","Display in widget"
"out of","out of"
"votes","votes"
"Store Review","Store Review"
"Added:","Added:"
"Placed on","Placed on"
"Profile image","Profile image"
"Approve","Approve"
"Testimonial approved.","Testimonial approved."
"Find us on","Find us on"
"Read more","Read more"
"Read less","Read less"
"Total of %d testimonial(s) have been created.","Total of %d testimonial(s) have been created."
"An error occurred while exporting review(s).","An error occurred while exporting review(s)."
"Copy to Testimonials","Copy to Testimonials"
